in FB,Date,Venue,City,State,Show,,,,,,,,,,,,,,,,,,
FALSE,"Sunday, July 19, 2009",Bottom Lounge,Chicago,Illinois,Frightened Rabbit,Headlights,,,,,,,,,,,,,,,,,
TRUE,"Wednesday, July 29, 2009",Red Rocks Amphitheatre,Morrison,Colorado,The Traveling Circus & Medicine Show,Counting Crows with Augustana,,,,,,,,,,,,,,,,,
FALSE,"Saturday, August 1, 2009",Double Door,Chicago,Illinois,City Riots,Luster,,,,,,,,,,,,,,,,,
FALSE,"Friday, August 7, 2009",Grant Park,Chicago,Illinois,Lollapalooza '09,Kings of Leon,of Montreal,Thievery Corporation,Asher Roth,Fleet Foxes,Ben Folds,Bon Iver,The Gaslight Anthem,Manchester Orchestra,Hockey,,,,,,,,
FALSE,"Saturday, August 8, 2009",Grant Park,Chicago,Illinois,Lollapalooza '09,Yeah Yeah Yeahs,Ben Harper and the Relentless7,TV on the Radio,Santigold,Blind Pilot,Gomez,Atmosphere,Quinn Sullivan,Delta Spirit,Ezra Furman and the Harpoons,,,,,,,,
FALSE,"Sunday, August 9, 2009",Grant Park,Chicago,Illinois,Lollapalooza '09,The Killers,Silversun Pickups,Snoop Dogg,Cold War Kids,Vampire Weekend,Dan Deacon,The Airborne Toxic Event,Cage the Elephant,Ra Ra Riot,Alberta Cross,,,,,,,,
FALSE,"Tuesday, August 11, 2009",Ryman Auditorium,Nashville,Tennessee,The Traveling Circus & Medicine Show,Counting Crows with Augustana and Michael Franti & Spearhead,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, August 12, 2009",Chastain Park Amphitheatre,Atlanta,Georgia,The Traveling Circus & Medicine Show,Counting Crows with Augustana and Michael Franti & Spearhead,,,,,,,,,,,,,,,,,
TRUE,"Wednesday, August 19, 2009",Schubas,Chicago,Illinois,Green River Ordinance,The Insecurities,,,,,,,,,,,,,,,,,
FALSE,"Saturday, August 22, 2009",The Vic,Chicago,Illinois,Our Lady Peace,Meese,,,,,,,,,,,,,,,,,
FALSE,"Sunday, August 23, 2009",United Center,Chicago,Illinois,Pearl Jam,Bad Religion,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, September 17, 2009",Schubas,Chicago,Illinois,Ra Ra Riot,Princeton,,,,,,,,,,,,,,,,,
TRUE,"Wednesday, October 7, 2009",Lakeshore Theatre,Chicago,Illinois,Andrew McMahon,,,,,,,,,,,,,,,,,,
FALSE,"Thursday, October 8, 2009",Elbo Room,Chicago,Illinois,Karl Rorvik and the Crafty Bastards,Mad Watch,Nadafinga,,,,,,,,,,,,,,,,
FALSE,"Monday, October 26, 2009",Lincoln Hall,Chicago,Illinois,Ben Gibbard & Jay Farrar,,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, October 28, 2009",Double Door,Chicago,Illinois,The Gaslight Anthem,Murder by Death,The Loved Ones,,,,,,,,,,,,,,,,
FALSE,"Friday, October 30, 2009",Empty Bottle,Chicago,Illinois,Thao & the Get Down Stay Down,Portland Cello Project,David Schultz & the Skyline,,,,,,,,,,,,,,,,
FALSE,"Friday, November 20, 2009",Schubas,Chicago,Illinois,Graham Colton,Dick Prall,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, November 25, 2009",Lincoln Hall,Chicago,Illinois,Blind Pilot,Laura Veirs & the Hall of Flames,Mimicking Birds,,,,,,,,,,,,,,,,
FALSE,"Tuesday, December 1, 2009",Aragon Ballroom,Chicago,Illinois,Weezer,Motion City Soundtrack,Jack’s Mannequin,,,,,,,,,,,,,,,,
FALSE,"Saturday, December 12, 2009",House of Blues,Chicago,Illinois,Better Than Ezra,Vedera,,,,,,,,,,,,,,,,,
FALSE,"Thursday, December 17, 2009",Cubby Bear,Chicago,Illinois,Our Lady Peace,Model Stranger,,,,,,,,,,,,,,,,,
FALSE,"Friday, December 18, 2009",Lincoln Hall,Chicago,Illinois,Motion City Soundtrack - I Am the Movie,Ultimate Fakebook,,,,,,,,,,,,,,,,,
FALSE,"Saturday, December 19, 2009",Lincoln Hall,Chicago,Illinois,Motion City Soundtrack - Commit This to Memory,Ultimate Fakebook,,,,,,,,,,,,,,,,,
FALSE,"Sunday, December 20, 2009",Lincoln Hall,Chicago,Illinois,Motion City Soundtrack - Even If It Kills Me,Ultimate Fakebook,,,,,,,,,,,,,,,,,
TRUE,"Saturday, January 30, 2010",The Vic,Chicago,Illinois,Cold War Kids,Flashy Python,,,,,,,,,,,,,,,,,
TRUE,"Monday, February 22, 2010",House of Blues,Chicago,Illinois,Jack’s Mannequin,fun.,Vedera,,,,,,,,,,,,,,,,
TRUE,"Tuesday, February 23, 2010",House of Blues,Chicago,Illinois,Jack’s Mannequin,,,,,,,,,,,,,,,,,,
FALSE,"Tuesday, March 23, 2010",Metro,Chicago,Illinois,Manchester Orchestra,,,,,,,,,,,,,,,,,,
TRUE,"Thursday, April 1, 2010",Aragon Ballroom,Chicago,Illinois,Spoon,Deerhunter,,,,,,,,,,,,,,,,,
FALSE,"Wednesday, April 7, 2010",House of Blues,Chicago,Illinois,Motion City Soundtrack,fun.,,,,,,,,,,,,,,,,,
FALSE,"Monday, April 12, 2010",Lincoln Hall,Chicago,Illinois,The Morning Benders,Miniature Tigers,,,,,,,,,,,,,,,,,
TRUE,"Friday, April 16, 2010",Metro,Chicago,Illinois,Dr Dog,Sean Bones,,,,,,,,,,,,,,,,,
FALSE,"Saturday, April 17, 2010",Lincoln Hall,Chicago,Illinois,Rogue Wave,,,,,,,,,,,,,,,,,,
TRUE,"Saturday, April 24, 2010",Rubloff Auditorium,Chicago,Illinois,Natalie Merchant,,,,,,,,,,,,,,,,,,
FALSE,"Thursday, April 29, 2010",Waldron County Fairgrounds,Elkhorn,Wisconsin,Daytrotter Barnraiser III,Delta Spirit,Ra Ra Riot,Free Energy,Nathaniel Rateliff,Pearly Gate Music,,,,,,,,,,,,,
FALSE,"Thursday, May 6, 2010",Schubas,Chicago,Illinois,Everybody was in the French Resistance... Now!,Team Band,Chaperones,,,,,,,,,,,,,,,,
TRUE,"Saturday, May 8, 2010",Metro,Chicago,Illinois,Frightened Rabbit,Maps & Atlases,Our Brother the Native,,,,,,,,,,,,,,,,
TRUE,"Sunday, May 9, 2010",House of Blues,Chicago,Illinois,Butch Walker & the Black Widows,,,,,,,,,,,,,,,,,,
FALSE,"Saturday, June 5, 2010",Maier Festival Park Summerfest Grounds,Milwaukee,Wisconsin,Verge Fest,Rogue Wave,AFI,Jaill,Cold War Kids,Geri X,Manchester Orchestra,,,,,,,,,,,,
FALSE,"Sunday, June 13, 2010",Ravinia,Highland Park,Illinois,Sheryl Crow,Colby Callet,,,,,,,,,,,,,,,,,
FALSE,"Saturday, June 19, 2010",Metro,Chicago,Illinois,Delta Spirit,Ezra Furman & the Harpoons,The Romany Rye,,,,,,,,,,,,,,,,
FALSE,"Saturday, June 26, 2010",Toyota Park,Bridgeview,Illinois,Crossroads Guitar Festival,BB King,Eric Clapton with Steve Winwood,Jeff Beck,Derek Trucks with Susan Tedeschi,,,,,,,,,,,,,,
TRUE,"Monday, June 28, 2010",Lincoln Hall,Chicago,Illinois,Thao and Mirah,These United States,,,,,,,,,,,,,,,,,
FALSE,"Thursday, July 22, 2010",Chicago Theatre,Chicago,Illinois,Natalie Merchant,,,,,,,,,,,,,,,,,,
FALSE,"Friday, August 6, 2010",Grant Park,Chicago,Illinois,Lollapalooza ’10,The Strokes,Jimmy Cliff,The Black Keys,The Dirty Projectors,The New Pornographers,Drive-By Truckers,Jukebox the Ghost,The Walkmen,The Ettes,Wavves,Foxy Shazam,These United States,,,,,,
FALSE,"Saturday, August 7, 2010",Grant Park,Chicago,Illinois,Lollapalooza ’10,Phoenix,Green Day,Slightly Stoopid,Spoon,Metric,Deer Tick,Royal Bangs,Dawes,The XX,Against Me!,Blues Traveler,Rogue Wave,Rebelution,The Morning Benders,Mimicking Birds,,,
FALSE,"Sunday, August 8, 2010",Grant Park,Chicago,Illinois,Lollapalooza ’10,Arcade Fire,Soundgarden,Cypress Hill,The Temper Trap,MGMT,Frightened Rabbit,Perry Farrell,Hockey,Mumford & Sons,Blitzen Trapper,The Dodos,The Antlers,,,,,,
FALSE,"Friday, August 20, 2010",Charter One Pavilion at Northerly Island,Chicago,Illinois,Stone Temple Pilots,Cage the Elephant,Fang Island,,,,,,,,,,,,,,,,
FALSE,"Saturday, September 4, 2010",Union Park,Chicago,Illinois,North Coast Music Festival ’10,Umphree’s McGee,Moby,De La Soul,Jay Electronica,The New Deal,Grace Potter & the Nocturnals,Strange Arrangement,Van Ghost,New Mastersounds,,,,,,,,,
